RP_ENTITY_ID,COMPANY_NAME
76959C,Surgery Partners Inc.
76D79A,Spirit Realty Capital Inc.
76E80F,Lowe's Companies Inc.
76F067,Amgen Inc.
7843D0,Unity Software Inc.
789A7D,Ameren Corp.
789ADD,Church & Dwight Co. Inc.
78F9ED,Molson Coors Beverage Co.
790C34,ON Semiconductor Corp.
793C11,Teradata Corp.
7999F3,Ventas Inc.
7A0EC4,DocuSign Inc.
7A10FF,Mondelez International Inc.
7A3633,Block Inc.
7AB859,Elevance Health Inc.
7AC86E,DTE Energy Co.
F3016C,TopBuild Corp.
F30508,Eli Lilly & Co.
F32F88,Watts Water Technologies Inc.
F39E1E,Advance Auto Parts Inc.
F3FCC3,Scotts Miracle-Gro Co.
F40EE2,Corning Inc.
F46EC9,Xylem Inc.
F4CDA3,Ensign Group Inc.
F4E882,Mattel Inc.
F4F46F,Arrow Electronics Inc.
267718,Pfizer Inc.
26B640,Antero Midstream Corp.
26CC63,Jabil Inc.
3BB616,Boyd Gaming Corp.
3C7F5F,Paramount Global Co.
3CBA2A,Starbucks Corp.
3CCC90,Northern Trust Corp.
66E04A,Hilton Worldwide Holdings Inc.
66ECFD,Automatic Data Processing Inc.
67529E,BOK Financial Corp.
676FFD,Grand Canyon Education Inc.
6844D2,FedEx Corp.
221AD7,Align Technology Inc.
228924,Albertsons Companies Inc.
228D42,Microsoft Corp.
22AB4B,New Fortress Energy Inc.
22DAF6,Novanta Inc.
38FB49,Equity Lifestyle Properties Inc.
39692D,Expedia Group Inc.
39BFF6,Texas Instruments Inc.
39FB23,The Pittsburgh Paints Co.
3A0C6D,MongoDB Inc.
3A113F,Integra LifeSciences Holdings Corp.
3A3447,Valvoline Inc.
3B20AB,Ally Financial Inc.
SUZM4J,GlobalFoundries Inc.
A80FE0,American Tower REIT Inc.
A8B137,Polaris Inc.
A8CBDA,Discover Financial Services Inc.
UXEPLU,Noble Corp. PLC
DF46C5,Redco Corp.
DF532D,Interactive Brokers Group Inc.
69345C,Advanced Micro Devices Inc.
69CE71,CVS Health Corp.
69E8E1,Mohawk Industries Inc.
6A091A,Entegris Inc.
6ABCB8,Monolithic Power Systems Inc.
6ADA0F,Paylocity Holding Corp.
6B0784,Mettler-Toledo International Inc.
6B236C,Invitation Homes Inc.
6B5379,Parker Hannifin Corp.
6B613D,Vontier Corp.
6BC6F9,Zillow Group Inc.
6BF593,Host Hotels & Resorts Inc.
106394,VICI Properties Inc.
1065BC,Radian Group Inc.
10C19B,Bank OZK
922FFF,Teladoc Health Inc.
925759,Ionis Pharmaceuticals Inc.
92B047,Crown Holdings Inc.
92D3A0,Fastenal Co.
92D9C9,Rithm Capital Corp.
F51DB0,Floor & Decor Holdings Inc.
F57F6F,Gartner Inc.
F5D059,RPM International Inc.
F5D410,Centene Corp.
F67165,Essex Property Trust Inc.
F6A945,SouthState Bank Corp.
F6DCE4,Target Corp.
F6E248,Gilead Sciences Inc.
0C8D82,Chart Industries Inc.
0CC62B,ChampionX Corp.
0D3CC6,Energy Transfer LP
0DE3D5,PDC Energy Inc.
270305,First Citizens Bancshares Inc.
275300,Crown Castle Inc.
279916,Guidewire Software Inc.
289238,CCC Intelligent Solutions Holdings Inc.
2893E8,National Retail Properties Inc.
28DCA8,Selective Insurance Group Inc.
2920D5,Pioneer Natural Resources Co.
2AC5FC,Sotera Health Co.
2B49F4,Halliburton Co.
2B7A40,Archer-Daniels-Midland Co.
2BA977,Altria Group Inc.
2BAE5F,Eversource Energy Co.
2BF36E,Dentsply Sirona Inc.
2C7505,Alnylam Pharmaceuticals Inc.
2CB4C9,NextEra Energy Inc.
2D2D43,Marathon Petroleum Corp.
2D485F,Essential Utilities Inc.
2D643C,Norfolk Southern Corp.
2D8972,Gates Industrial Corp. PLC
2DA651,Globus Medical Inc.
2DA92D,Old Republic International Corp.
2E0496,Verisk Analytics Inc.
2E360C,Science Applications International Corp.
2E61CC,Procter & Gamble Co.
2E902B,Lennox International Inc.
2EB04E,Lyft Inc.
2EB88B,PENN Entertainment Inc.
2F1299,Aramark
2F5256,Graphic Packaging Holding Co.
2F7474,Glacier Bancorp Inc.
2F9304,Splunk LLC
2F94A5,T. Rowe Price Group Inc.
2F98A5,J.M. Smucker Co.
2FEA66,AvalonBay Communities Inc.
21DED4,Fortune Brands Innovations Inc.
CF6A5A,Alaska Air Group Inc.
CF7292,Ulta Beauty Inc.
CF9054,Hawaiian Electric Industries Inc.
CFF15D,Qualcomm Inc.
CFF97C,S&P Global Inc.
8802B4,ONE Gas Inc.
88350F,AutoNation Inc.
883D82,Ubiquiti Inc.
88923D,EPAM Systems Inc.
890C4E,TechnipFMC PLC
896771,Churchill Downs Inc.
89F693,Gen Digital Inc.
6C7906,Magellan Midstream Partners L.P.
6CC55E,Incyte Corp.
6CGTFN,The Walt Disney Co.
6D4D62,RenaissanceRe Holdings Ltd.
6DBBBC,American Water Works Co. Inc.
VUA3RK,Organon & Co.
6E1E61,O'Reilly Automotive Inc.
6E705B,United Airlines Holdings Inc.
6E7060,Entergy Corp.
6EB9DA,W.W. Grainger Inc.
6ED519,NiSource Inc.
PL177A,Welltower Inc.
THC8Q8,KKR & Co. Inc.
D80QUD,Aspen Technology Inc.
D8442A,Apple Inc.
D88EF3,Charter Communications Inc.
D8DA3D,Sealed Air Corp.
D8E003,TD Synnex Corp.
D8F347,Union Pacific Corp.
D90F43,Uber Technologies Inc.
D9164D,Healthcare Realty Trust Inc.
D93A25,Alcoa Corp.
D96202,Republic Services Inc.
D97887,Driven Brands Holdings Inc.
D9B1C9,American Electric Power Co. Inc.
D9E036,BWX Technologies Inc.
DA199F,Jefferies Financial Group Inc.
DA48E4,Air Products & Chemicals Inc.
DAFED3,Lear Corp.
DB06B0,Electronic Arts Inc.
DB5CA5,Duke Energy Corp.
DB9829,The Toro Company
DBB28E,Hewlett Packard Enterprise Co.
HTA3J9,Constellation Energy Corp.
900356,Simon Property Group Inc.
902670,Marathon Oil Corp.
903AB4,Agree Realty Corp.
90B678,National Beverage Corp.
911AB8,Newmont Corp.
9196A2,Morgan Stanley Co.
91C82E,Lennar Corp.
AC642C,WillScot Holdings Corp.
AC7C4F,CACI International Inc.
ACDF88,The Home Depot Inc.
ACF0B4,Middleby Corp.
ACF77B,Paccar Inc.
AD1ACF,Tyson Foods Inc.
AD23DE,Equifax Inc.
AD3C93,AFLAC Inc.
FA40E2,Conagra Brands Inc.
FA840E,ShockWave Medical Inc.
FACF19,Walgreens Boots Alliance Inc.
FAE021,United Parcel Service Inc.
FBD2FD,Genpact Ltd.
FC1A6E,Acadia Healthcare Co. Inc.
FC1B7B,Northrop Grumman Corp.
FC1F9D,Tractor Supply Co.
FD39EB,NRG Energy Inc.
FD4E8D,Landstar System Inc.
FD6926,Teleflex Inc.
FD83D1,BellRing Brands Inc.
FD8EAF,Western Midstream Partners LP
FDF1C0,TFS Financial Corp.
FDF28E,US Foods Inc.
FE7A63,Synovus Financial Corp.
8A8E41,Verizon Communications Inc.
8AC65D,Tenable Holdings Inc.
8AM205,Kenvue Inc.
8B1F37,National Fuel Gas Co.
8B4A45,Copart Inc.
8C5519,ProLogis Inc.
8C6C1B,Ross Stores Inc.
8C954B,Blue Owl Capital Inc.
8CF6DD,Comerica Inc.
8D4486,IBM Corp.
8DB8F5,Axis Capital Holdings Ltd.
8DBE73,Pilgrim's Pride Corp.
8DCBBB,Murphy USA Inc.
8DCF18,Halozyme Therapeutics Inc.
8E0E32,International Paper Co.
8E82A6,Albemarle Corp.
8E8E6E,MGM Resorts International Co.
8EA478,Moderna Inc.
8EF425,Mid-America Apartment Communities Inc.
8F63E7,The AZEK Co. Inc.
8FCA78,Huntsman Corp.
8FF2EF,Progressive Corp.
C230FE,Saia Inc.
C2609A,Voya Financial Inc.
C29715,NVR Inc.
C2E426,Seaboard Corp.
C356AC,The Kraft Heinz Co.
C3BAE7,Ziff Davis Inc.
C3BCD5,Newell Brands Inc.
C3DE7D,Everpure Inc.
C44D01,Enphase Energy Inc.
C7AE14,American Financial Group Inc.
C81E00,Stryker Corp.
C8257F,Omnicom Group Inc.
C83B88,Comcast Corp.
C85E94,SoFi Technologies Inc.
C8A248,Dupont De Nemours Inc.
C951A2,Hologic Inc.
C97B2D,Boston Scientific Corp.
C9881C,Adobe Inc.
C9A96E,Stericycle Inc.
C9B932,Las Vegas Sands Corp.
C9E107,Huntington Bancshares Inc.
44A4FC,Catalent Inc.
44ED36,Omega Healthcare Investors Inc.
45444E,Ormat Technologies Inc.
4595EF,Deckers Outdoor Corp.
45BC35,EXACT Sciences Corp.
45CF4C,Bath & Body Works Inc.
45CF5C,Axalta Coating Systems Ltd.
45D153,Amdocs Ltd.
VGTRWJ,DT Midstream Inc.
C4706C,Maximus Inc.
C4A432,Hormel Foods Corp.
C4F567,National Instruments Corp.
B1A85D,Light & Wonder Inc.
F0B2B5,Markel Group Inc.
F11638,Intuit Inc.
F1529C,Cboe Global Markets Inc.
F179ED,Twilio Inc.
F18844,Coty Inc.
F1C69A,Palantir Technologies Inc.
F1FA25,Everest Group Ltd.
7B1E50,FirstEnergy Corp.
7B6C88,Dolby Laboratories Inc.
7BAAE7,CMS Energy Corp.
24C48B,Broadridge Financial Solutions Inc.
24CB56,KeyCorp.
24D81E,Domino's Pizza Inc.
25102A,Nasdaq Inc.
251988,AT&T Inc.
253B2F,Quanta Services Inc.
25A6CC,Merit Medical Systems Inc.
26008A,Heico Corp.
263216,Royal Gold Inc.
2667B6,RTX Corp.
WGWQ0W,FirstCash Holdings Inc.
D5AF19,BlackRock Finance Inc.
DB7014,Federal Realty Interim REIT Co.
F5C8AB,Expeditors Intl of Washington Inc.
662682,Avery Dennison Corp.
665618,Watsco Inc.
665D7D,AbbVie Inc.
66749D,Timken Co.
66A667,Acuity Inc.
66A750,Syneos Health Inc.
66CB62,Expand Energy Corp.
BF79F5,West Pharmaceutical Services Inc.
BFAEB4,Cintas Corp.
BFE02C,Citizens Financial Group Inc.
D3C794,Simpson Manufacturing Co. Inc.
D3D781,Snowflake Inc.
D4070C,Eastman Chemical Co.
D42DBA,GameStop Corp.
D437C3,PTC Inc.
D4463B,Freeport-McMoRan Inc.
D44D33,Zscaler Inc.
D4AC65,Trimble Inc.
D54E62,Chevron Corp.
D56D6D,Nordson Corp.
D56E4C,Ovintiv Inc.
D598E7,Booz Allen Hamilton Holding Corp.
D60BB2,Jack Henry & Associates Inc.
D6489C,Oracle Corp.
D64C6D,NIKE Inc.
D64EDF,Vistra Corp.
D6534D,Martin Marietta Materials Inc.
D69946,Coinbase Global Inc.
D69D42,Ralph Lauren Corp.
D6C356,Datadog Inc.
