RP_ENTITY_ID,COMPANY_NAME
C87ECC,LyondellBasell Industries N.V.
C8DAD8,Skanska AB
C8FAC7,Anheuser-Busch InBev NV
C9DABA,Aker ASA
44D02D,Persimmon PLC
44F9E4,Coca-Cola HBC AG
452EA1,Evolution AB
4582C1,mBank S.A.
45A681,Nemetschek SE
45B7C5,Lotus Bakeries N.V.
462A82,Wendel SE
46639U,Cenergy Holdings SA
47718F,Turkish Airlines Inc.
47F966,Capgemini S.E.
4830AC,Ypsomed Holding AG
48459C,SIG Group AG
495C6B,Banca Transilvania S.A.
49E038,Aker BP ASA
4A5CEF,DWS Group GmbH & Co. KGaA
4AEF04,Ternium S.A.
4B604B,Terna Rete Elettrica Nazionale S.p.A.
4D6198,Elia Group S.A.
4D800D,Inchcape PLC
4D80DB,Naturgy Energy Group S.A.
4DA329,Deutsche Lufthansa AG
2A08C4,Covivio S.A.
2A577D,Sweco AB
2B5CA3,EVN AG
2CD1E0,Centrica PLC
2D469F,BP PLC
2DBC3B,Transocean Ltd.
2DBF98,Willis Towers Watson PLC
2E8AEB,Kerry Group PLC
2EB571,Ackermans & Van Haaren N.V.
2F9655,Cellnex Telecom S.A.
2FA42F,DiaSorin S.p.A.
8A3FC9,Nordnet AB
8A999F,Hapag-Lloyd AG
8AC990,Bank Millennium S.A.
8B1ED3,Hexagon AB
8BF758,Hella GmbH & Co KGaA
8C0129,Warehouses De Pauw Comm. VA
8C15E2,Koninklijke KPN N.V.
8C369C,Hellenic Telecomms Organization S.A.
8D1632,Tele2 AB
8DC7AC,Unipol Gruppo S.p.A.
8D40EC,PKO Bank Polski S.A.
8EB500,Games Workshop Group PLC
8F2DA2,AL Sydbank A/S
8F67EE,Imperial Brands PLC
8FDCA3,Scout24 SE
8FF57A,Balfour Beatty PLC
8FFD2D,London Stock Exchange Group PLC
6FVVHU,Accelleron Industries AG
D01300,TotalEnergies SE
D01549,Fresenius Medical Care AG
D03FF2,Svenska Handelsbanken AB
D0529C,Porsche Automobil Holding SE
D065EF,Lindt & Sprungli AG
D07D25,Hera S.p.A.
D0C79E,Melrose Industries PLC
112B21,Pernod Ricard S.A.
11AA42,Smiths Group PLC
127021,Koninklijke Ahold Delhaize N.V.
128F1B,Yapi ve Kredi Bankasi A.S.
12A216,Unicaja Banco S.A.
13D576,Ageas SA/NV
13FCA8,UNIQA Insurance Group AG
6CBF4D,Demant A/S
6CD3D4,SSAB AB
6D6BEB,Schroders PLC
6D712E,JD Sports Fashion PLC
6D7E7F,Marks & Spencer Group PLC
6DE211,KBC Ancora S.C.A.
6E5E72,KBC Groep N.V.
6E9442,Enel S.p.A.
6EA269,Commerzbank AG
6EE648,Moncler S.p.A.
21153F,Aegon Ltd.
21770E,Swedish Orphan Biovitrum AB
219A11,Julius Baer Group Ltd.
30E915,Land Securities Group PLC
31CD67,Dino Polska S.A.
31D534,Siegfried Holding AG
322A44,Pentair PLC
33057B,Stellantis N.V.
333997,Temenos AG
335ABA,ArcelorMittal S.A.
33649B,Logitech International S.A.
33B0C5,JDE Peet's NV
33D96A,3i Group PLC
351512,Prysmian S.p.A.
351EC3,NXP Semiconductors N.V.
35275C,Pirelli & C. S.p.A.
352AAB,Getlink S.E.
35CF67,A2A S.p.A.
35E532,ING Bank Slaski S.A.
36670B,Mondi PLC
380AF1,Fielmann Group AG
388C37,Investor AB
38970C,Mycronic AB
A84DC3,Swiss Re Ltd.
A85490,Heineken N.V.
A87FBF,Spie S.A.
A8A146,Engie S.A.
A8F7FE,Kion Group AG
A90720,IMCD N.V.
GUG1JZ,Sandoz Group AG
4E5748,Georg Fischer AG
4E9498,Magyar Telekom Távközlési NyRt.
4EAA76,EQT AB
4EB77D,Reckitt Benckiser Group PLC
4F51A6,Swedbank AB
4F892B,Schindler Holding AG
5A6336,Trane Technologies PLC
5AAE75,ASR Nederland N.V.
AA3A25,Sulzer AG
AA7506,Raiffeisen Bank International AG
AA8D10,Ayvens S.A.
AB20A7,Randstad N.V.
AB4B9A,Safran S.A.
F703AA,Vend Marketplaces ASA
F750A8,RELX PLC
F7B8AC,CNH Industrial N.V.
F7CDC7,Indutrade AB
F7E049,Rentokil Initial PLC
F837A5,ING Groep N.V.
F8FB07,Experian PLC
F92DBC,Veolia Environnement S.A.
F95404,Banca Mediolanum S.p.A.
14AA8D,Next PLC
15D3E7,Turkiye Halk Bankasi A.S.
15DDB8,Orion Oyj
15F47F,Straumann Holding AG
16085B,Gaztransport & Technigaz SA
16F2BE,Bachem Holding AG
17E42E,Legal & General Group PLC
17FB44,Spirax Group PLC
182546,Admiral Group PLC
187183,Bouygues S.A.
188CAC,Unilever PLC
18958B,Powszechny Zaklad Ubezpieczen S.A.
18A43F,Komercni Banka A.S.
197217,Tritax Big Box REIT PLC
19ACAF,Siemens Healthineers AG
19C507,FinecoBank S.p.A.
1A1ED9,Siemens Energy AG
1A43F2,Securitas AB
1A442F,Pearson PLC
1A9CAF,Dassault Aviation S.A.
1ABE37,Swatch Group AG
1B1348,Gjensidige Forsikring ASA
1B830D,Merlin Properties SOCIMI SA
1C66D0,LPP S.A.
1C7FFE,Deutsche Post AG
1C9E2B,ConvaTec Group PLC
1C9F48,Volvo AB
1CD6C8,Grifols S.A.
1D0E24,UBS Group AG
1F3EB2,Eurofins Scientific S.E.
1FA886,Airbus SE
EEA75C,Porsche AG
5C00BC,Poste Italiane S.p.A.
5C3A5C,BIM Birlesik Magazalar AS
5EF3A1,Lonza Group AG
5F3957,IG Group Holdings PLC
5FC63E,ABB Ltd.
5FCC02,MAIRE S.p.A.
5FFCB2,Klepierre S.A.
C0AD0A,Valmet Oyj
C0ADDE,Super Group (SGHC) Ltd.
C12ED9,Nokia Corp.
C1AEF1,Heineken Holding N.V.
C1C633,Dassault Systemes SE
C1E0E5,Inwit SpA
9E16E7,A.P. Moller-Maersk A/S
9E4FA8,Credito Emiliano S.p.A.
9EE668,British Land Co. PLC
9EF918,RWE AG
9F09C9,Halma PLC
9F4048,Elis S.A.
3DC70D,Ford Otomotiv Sanayi A.S.
3DC756,Rational AG
3E149C,Danone S.A.
3E1D22,Axfood AB
3ED502,Carlsberg A/S
800361,Sagax AB
801515,Burberry Group PLC
806766,EDP Renovaveis S.A.
80B32C,Heidelberg Materials AG
80BBC1,Diploma PLC
80BE8A,Adyen N.V.
816A37,Vestas Wind Systems A/S
820C99,Nordex SE
82872E,Puma SE
A07DC6,Acciona S.A.
A117F8,Allianz SE
A13149,ASSA ABLOY AB
A1A4EE,Türkiye Petrol Rafinerileri A.S.
A1EDD8,Bollore SE
A1FF80,Fortum Oyj
A2005F,Galenica Ltd.
A28C54,Vinci S.A.
A2F6DE,SKF AB
A3316D,Krones AG
A39B17,Akzo Nobel N.V.
642EEA,Amadeus IT Group S.A.
DF5503,LEG Immobilien SE
DF8855,Amcor PLC
VG3TB5,Daimler Truck Holding AG
C4756F,Krka d.d.
C4A4CC,InterContinental Hotels Group PLC
F02624,Zegona Communications PLC
F045FF,OMV Petrom S.A.
F0B540,Hiscox Ltd.
F0F3E1,CaixaBank S.A.
F15E41,Tenaris S.A.
F1C75C,RTL Group SA
252FC5,Redeia Corp. S.A.
25432B,Frasers Group PLC
264398,BMW Group
656F81,CTP N.V.
662885,Public Power Corp. S.A.
66A6AB,Ringkjobing Landbobank A/S
BE7730,The Sage Group PLC
BF4F6A,Beiersdorf AG
BLWID7,BKW AG
D389EC,Informa PLC
D43A7A,Talanx AG
D4D290,Neste Oyj
D4F5F8,Kingspan Group PLC
D4F61B,Scor SE
D516C5,Michelin SCA
D5866E,Brenntag SE
D588DD,Aedifica S.A.
