RP_COMPANY_ID,COMPANY_NAME,COUNTRY,SECTOR
A0C645,Domino's Pizza Group PLC,United Kingdom,Consumer Services
A3316D,Krones AG,Germany,Industrials
2A8553,BlackRock MuniHoldings NY Quality Fd Inc.,United States,Financials
EA9AFA,TietoEVRY Oyj,Finland,Technology
TM1WER,Motorcomm Electronic Technology Co. Ltd.,China,Technology
C81E00,Stryker Corp.,United States,Health Care
0CE4FD,Cipla Ltd.,India,Health Care
C3DE7D,Pure Storage Inc.,United States,Technology
EF2467,BlackRock MuniHoldings Fund Inc.,United States,Financials
BA4F34,DaShenLin Pharmaceutical Group Co. Ltd.,China,Health Care
3EAEB4,China Mobile Ltd.,Hong Kong SAR,Telecommunications
D49C7B,IGM Financial Inc.,Canada,Financials
0B9E6F,MarineMax Inc.,United States,Consumer Services
F6EA2D,Hanwha Ocean Co. Ltd.,South Korea,Industrials
E50F1C,First Community Bankshares Inc.,United States,Financials
C1AEF1,Heineken Holding N.V.,The Netherlands,Consumer Goods
7CB318,Inner Mongolia Mengdian Huaneng,China,Consumer Services
B054E4,International Distribution Services Plc,United Kingdom,Industrials
0171D9,PNE AG,Germany,Utilities
E78JJ2,Innodisk Corp.,Taiwan,Technology
5C1710,Poly Property Services Co. Ltd.,China,Real Estate
8CF6DD,Comerica Inc.,United States,Financials
C5EF8D,Aon PLC,Ireland,Financials
87EC4B,Shandong Head Group Co. Ltd.,China,Basic Materials
D44D33,Zscaler Inc.,United States,Technology
66095C,Shanghai Shyndec Pharmaceutical Co. Ltd.,China,Health Care
TXZIC8,MINISO Group Holding Ltd.,Cayman Islands,Consumer Services
BA8885,Inari Amertron Bhd,Malaysia,Technology
6A31CE,Anhui Jianghuai Automobile Gp Corp. Ltd.,China,Consumer Goods
15F378,Daishi Hokuetsu Financial Group Inc.,Japan,Financials
DFCF04,Freightways Group Ltd.,New Zealand,Industrials
21139D,Hwatsing Technology Co. Ltd.,China,Technology
DB02F6,Acrel Co. Ltd.,China,Industrials
1BC12C,GM (General Motors Co.),United States,Consumer Goods
1E3D67,Montnets Cloud Technology Group Co. Ltd.,China,Industrials
6A31CF,WH Smith PLC,United Kingdom,Consumer Services
024176,Taikisha Ltd.,Japan,Industrials
46D790,Kemper Corp.,United States,Financials
2A67A5,HCIG Energy Investment Co. Ltd.,China,Industrials
9972E6,Medical Properties Trust Inc.,United States,Real Estate
UR2SDW,Diamond BioFund Inc.,Taiwan,Financials
97F832,Rubis SCA,France,Utilities
12625E,New Hope Liuhe Co. Ltd.,China,Consumer Goods
821200,Dip Corp.,Japan,Industrials
B37A67,JK Cement Ltd.,India,Industrials
F891C0,Tsubakimoto Chain Co.,Japan,Industrials
CDCH5T,Intelbras SA,Brazil,Technology
C3134B,Guangzhou Wondfo Biotech Co. Ltd.,China,Health Care
C2E686,Feng Tay Enterprises Co. Ltd.,Taiwan,Consumer Goods
C05839,ATN International Inc.,United States,Telecommunications
C0D627,Stadler Rail AG,Switzerland,Industrials
61E5D6,Loma Negra Companía Industrial Argentina S.A.,Argentina,Industrials
C74288,Siemens AG,Germany,Industrials
1D0E24,UBS Group AG,Switzerland,Financials
28878B,Damai Entertainment Holdings Ltd.,Bermuda,Consumer Services
435129,Shaanxi Coal Industry Co. Ltd.,China,Basic Materials
E7B73B,Radware Ltd.,Israel,Technology
E94E74,North Electro-Optic Co. Ltd.,China,Industrials
F6C6DC,Hua Xia Bank Co. Ltd.,China,Financials
00CA77,Suzhou Secote Precision Electronic Co. Ltd.,China,Industrials
EAA9C3,Goneo Group Co. Ltd.,China,Industrials
4B8154,By-Health Co. Ltd.,China,Consumer Goods
A3137A,Vietcombank,Vietnam,Financials
053D74,Jiangsu King's Luck Brewery JSC Ltd.,China,Consumer Goods
FAACAB,Schaeffler AG,Germany,Consumer Goods
6ED519,NiSource Inc.,United States,Utilities
946FA2,GTBank,Nigeria,Financials
1220D2,Masimo Corp.,United States,Health Care
A8JBZJ,Azelis Group NV,Belgium,Financials
9A4ECA,AppLovin Corp.,United States,Consumer Services
1DE075,Natco Pharma Ltd.,India,Health Care
03E3B6,Kailuan Energy Chemical Co. Ltd.,China,Basic Materials
D096E0,Shiseido Co. Ltd.,Japan,Consumer Goods
8D5ECB,Ashok Leyland Ltd.,India,Industrials
D267B6,XGD Inc.,China,Industrials
962E74,RLI Corp.,United States,Financials
387C16,Labrador Iron Ore Royalty Corp.,Canada,Basic Materials
J4VTTL,PolicyBazaar,India,Technology
70LKFA,Grupo de Moda Soma S.A.,Brazil,Consumer Services
E84500,Donegal Group Inc.,United States,Financials
52F3A1,Financière de Tubize S.A.,Belgium,Health Care
4FB761,CMGE Technology Group Ltd.,Cayman Islands,Consumer Goods
5B2E00,United Laboratories Intl Holdings Ltd.,Cayman Islands,Health Care
BBFD98,Gerdau S.A.,Brazil,Basic Materials
F6484F,TBC Bank Group PLC,United Kingdom,Financials
B17747,Technip Energies N.V.,The Netherlands,Industrials
LKOL7E,Nexchip Semiconductor Corp.,China,Technology
9B9DF2,Coface S.A.,France,Financials
6A6BDC,Nathan's Famous Inc.,United States,Consumer Services
90D19D,Henan Xiangyu Medical Co. Ltd.,China,Health Care
9A7469,ANTA Sports Products Ltd.,Cayman Islands,Consumer Goods
E5A1BC,Arcplus Group PLC,China,Industrials
1A2458,Scatec ASA,Norway,Energy
MQ8LHR,International Holding Co. PJSC,United Arab Emirates,Financials
83C7EC,3SBio Inc.,Cayman Islands,Health Care
F38255,Entrada Therapeutics Inc.,United States,Health Care
3RVPU1,Shenzhen BSC Technology Co. Ltd.,China,Technology
71D5G7,Shaanxi Beiyuan Chemical Group Co. Ltd.,China,Basic Materials
A9D43A,House Foods Group Inc.,Japan,Consumer Goods
2B5068,United Super Markets Holdings Inc.,Japan,Consumer Services
1B67F5,Adaptive Biotechnologies Corp.,United States,Health Care
5D0EAE,Tootsie Roll Industries Inc.,United States,Consumer Goods
B43ACE,Dialog Group Bhd,Malaysia,Energy
9A29F4,Corsair Gaming Inc.,Cayman Islands,Consumer Services
0BF528,Okta Inc.,United States,Technology
4CA01D,K Wah International Holdings Ltd.,Bermuda,Real Estate
A1A322,NAURA Technology Group Co. Ltd.,China,Industrials
BB07E4,Amphenol Corp.,United States,Industrials
BDF85E,Dave & Buster's Entertainment Inc.,United States,Consumer Services
E36CB8,Instalco AB,Sweden,Industrials
278659,Bros Eastern Co. Ltd.,China,Consumer Goods
CA6827,Nongshim Co. Ltd.,South Korea,Consumer Goods
GVO4LF,BLS International Services Ltd.,India,Technology
698BA1,Nerdy Inc.,United States,Consumer Services
758C25,L&F Co. Ltd.,South Korea,Industrials
F0B877,Tri Pointe Homes Inc.,United States,Consumer Goods
C03C8B,Zoetis Inc.,United States,Health Care
F668E5,Shenzhen Heungkong Holding Co. Ltd.,China,Real Estate
D82EF3,TripAdvisor Inc.,United States,Consumer Services
2FB440,Asia Commercial JS Bank,Vietnam,Financials
EZK4AT,Cubic Sensor & Instrument Co. Ltd.,China,Industrials
CD2FAC,Advantage Energy Ltd.,Canada,Energy
E16133,Laureate Education Inc.,United States,Consumer Services
CDE94E,Ayala Land Inc.,Philippines,Real Estate
2AE625,AdvanSix Inc.,United States,Basic Materials
1F4082,Chengdu ALD Aviation Manufacturing Corp.,China,Industrials
51A8FB,NSD Co. Ltd.,Japan,Technology
5C0D00,TUI AG,Germany,Consumer Services
FB02A2,Power Corp. of Canada Ltd.,Canada,Financials
SOKL2H,Alexander Marine Co. Ltd.,Taiwan,Consumer Goods
CD1D64,Radius Global Infrastructure Inc.,British Virgin Islands,Telecommunications
4FD8B4,Bank of ChongQing Co. Ltd.,China,Financials
6CA2EF,Bharat Forge Ltd.,India,Industrials
402CBC,KE Holdings Inc.,Cayman Islands,Financials
SUAHNX,I-Tail Corp. PCL,Thailand,Consumer Goods
729E8D,Wynn Macau Ltd.,Cayman Islands,Consumer Services
4A3724,JCHX Mining Management Co. Ltd.,China,Industrials
58D341,China Power Intl Development Ltd.,Hong Kong SAR,Utilities
F85B68,Betta Pharmaceuticals Co. Ltd.,China,Health Care
H24NTT,PepGen Inc.,United States,Health Care
VUQTBG,Hangzhou Lion Microelectronics Co. Ltd.,China,Technology
1C66D0,LPP S.A.,Poland,Consumer Goods
B189CD,Jtower Inc.,Japan,Technology
89F693,Gen Digital Inc.,United States,Technology
NJPXPW,Gores Holdings IX Inc.,United States,Financials
D5E3FF,Arbutus Biopharma Corp.,Canada,Health Care
3WNZVM,INPEX Corp.,Japan,Energy
8AM205,Kenvue Inc.,United States,Consumer Goods
1880C5,Catalyst Pharmaceuticals Inc.,United States,Health Care
C79C20,Nippon Paint Holdings Co. Ltd.,Japan,Basic Materials
0847A8,Tong Hsing Electronic Industries Ltd.,Taiwan,Industrials
0B13E8,National Vision Holdings Inc.,United States,Consumer Services
87DF93,Tingyi (Cayman Islands) Holding Corp.,Cayman Islands,Consumer Goods
7722BB,Zenith Bank PLC,Nigeria,Financials
B73F1A,Shuyu Civilian Pharmacy Chain Co. Ltd.,China,Consumer Services
9BF177,ABM Industries Inc.,United States,Industrials
8DC7AC,Unipol Gruppo S.p.A.,Italy,Financials
66B48E,Cheng Shin Rubber Industry Co. Ltd.,Taiwan,Consumer Goods
6DDA15,Green Dot Corp.,United States,Financials
9645E6,Fox Factory Holding Corp.,United States,Consumer Goods
3C8101,Great Eastern Shipping Co. Ltd.,India,Industrials
12E063,CAE Inc.,Canada,Industrials
72EF75,Peoples Financial Services Corp.,United States,Financials
AF93DE,Earthstone Energy Inc.,United States,Energy
8E8E6E,MGM Resorts International Co.,United States,Consumer Services
F83565,CNOOC Ltd.,Hong Kong SAR,Energy
D5E83B,Daifuku Co. Ltd.,Japan,Industrials
5WI20S,AESI Holdings Inc.,United States,Energy
FCB918,Sichuan Changhong Electric Co. Ltd.,China,Consumer Goods
31643A,U-Haul Holding Co.,United States,Financials
4BA0FF,Chang Wah Technology Co. Ltd.,Taiwan,Industrials
C52197,Radico Khaitan Ltd.,India,Consumer Goods
FD554E,Vector Group Ltd.,United States,Consumer Goods
766047,The Hartford Insurance Group Inc.,United States,Financials
222D38,Eiffage S.A.,France,Industrials
1100D5,John Wood Group PLC,United Kingdom,Energy
790C34,ON Semiconductor Corp.,United States,Technology
82003B,Shikoku Electric Power Co. Inc.,Japan,Utilities
D5AA98,LeapMotor,China,Consumer Goods
EFAEB1,Metlen Energy & Metals SA,Greece,Industrials
29AFF0,New China Life Insurance Co. Ltd.,China,Financials
B65D7C,Singapore Airlines Ltd.,Singapore,Consumer Services
49168D,Zhejiang Yonghe Refrigerant Co. Ltd.,China,Basic Materials
7B31BE,Fabrinet LLC,Cayman Islands,Industrials
303A3C,Vodafone Idea Ltd.,India,Telecommunications
600052,Windey Energy Technology Group Co. Ltd.,China,Industrials
4EEFDE,Sangetsu Corp.,Japan,Consumer Goods
210096,Shoucheng Holdings Ltd.,Hong Kong SAR,Basic Materials
440A72,AB Global High Income Fund Inc.,United States,Financials
27A791,Orthofix Medical Inc.,United States,Health Care
